Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
FALSE,424,4,7,46,15,1199184,1847728,2016,05-10-2016 15:56,41.73697442,-87.545828,"(41.736974418, -87.545827999)"
FALSE,2511,25,29,19,7,1133897,1918956,2016,05-10-2016 15:56,41.93382589,-87.78335189,"(41.933825894, -87.78335189)"
TRUE,914,9,11,60,26,1172771,1885463,2016,05-10-2016 15:56,41.84114586,-87.64148388,"(41.841145857, -87.641483881)"
FALSE,324,3,8,43,7,1188770,1857957,2016,05-10-2016 15:56,41.7652989,-87.58365451,"(41.765298896, -87.583654511)"
FALSE,1611,16,41,10,6,1130812,1940757,2016,05-10-2016 15:56,41.99370385,-87.79418524,"(41.993703853, -87.794185238)"
FALSE,1832,18,42,8,11,1175628,1906198,2016,05-10-2016 15:56,41.8979804,-87.63037668,"(41.897980396, -87.630376682)"
TRUE,723,7,16,68,08B,1171414,1862128,2016,05-10-2016 15:56,41.77714211,-87.64714727,"(41.777142114, -87.647147267)"
FALSE,1834,18,42,8,6,1176302,1903096,2016,05-10-2016 15:56,41.88945317,-87.62799483,"(41.889453169, -87.627994833)"
FALSE,1812,18,43,7,6,1169773,1914157,2016,05-10-2016 15:56,41.91994998,-87.65164906,"(41.919949978, -87.651649056)"
FALSE,912,9,11,59,14,1166183,1883676,2016,05-11-2016 15:50,41.83638523,-87.66571041,"(41.836385231, -87.66571041)"
FALSE,622,6,21,44,6,1175078,1849610,2016,05-11-2016 15:50,41.74271022,-87.63408818,"(41.742710224, -87.634088181)"
FALSE,2531,25,29,25,11,1136460,1911565,2016,05-10-2016 15:56,41.91349864,-87.77410994,"(41.913498644, -87.774109939)"
FALSE,1422,14,26,23,14,1154577,1908468,2016,05-10-2016 15:56,41.90465676,-87.70763425,"(41.904656764, -87.707634248)"
FALSE,1432,14,32,22,14,1161347,1914241,2016,05-10-2016 15:56,41.9203601,-87.68260517,"(41.920360101, -87.682605169)"
FALSE,922,9,14,58,14,1155737,1875838,2016,05-10-2016 15:56,41.81509317,-87.70425144,"(41.815093173, -87.704251437)"
FALSE,1122,11,28,26,26,1150799,1899061,2016,05-10-2016 15:56,41.87891776,-87.72175831,"(41.878917763, -87.721758314)"
FALSE,123,1,2,32,6,1176517,1895340,2016,05-10-2016 15:56,41.86816541,-87.62743954,"(41.868165405, -87.62743954)"
FALSE,111,1,42,32,11,1176904,1901295,2016,05-10-2016 15:56,41.88449753,-87.6258386,"(41.884497529, -87.625838595)"
FALSE,121,1,27,28,6,1171824,1900768,2016,05-10-2016 15:56,41.88316482,-87.6445084,"(41.883164818, -87.644508395)"
FALSE,1611,16,41,10,6,1131033,1939617,2016,05-10-2016 15:56,41.99057177,-87.79339873,"(41.99057177, -87.793398734)"
FALSE,512,5,9,49,08A,1179094,1835637,2016,05-10-2016 15:56,41.70427604,-87.61979792,"(41.704276039, -87.619797922)"
FALSE,411,4,8,45,14,1187546,1852538,2016,05-10-2016 15:56,41.75045785,-87.58831279,"(41.750457849, -87.588312792)"
FALSE,1032,10,12,30,11,1155512,1884264,2016,05-10-2016 15:56,41.8382197,-87.70485067,"(41.838219696, -87.704850674)"
FALSE,1623,16,45,11,7,1139224,1931886,2016,05-10-2016 15:56,41.96921161,-87.7634591,"(41.969211609, -87.763459102)"
FALSE,225,2,3,40,26,1177170,1870046,2016,05-10-2016 15:56,41.79874193,-87.62580711,"(41.798741929, -87.62580711)"
FALSE,611,6,21,71,6,1166410,1851364,2016,05-10-2016 15:56,41.74771234,-87.66579808,"(41.747712344, -87.665798083)"
FALSE,634,6,21,49,08B,1176590,1843118,2016,05-10-2016 15:56,41.7248615,-87.62874294,"(41.724861497, -87.628742936)"
FALSE,624,6,6,69,6,1182201,1855156,2016,05-10-2016 15:56,41.75776725,-87.60781822,"(41.757767253, -87.607818223)"
FALSE,1023,10,25,31,6,1160686,1890209,2016,05-10-2016 15:56,41.85442795,-87.68570021,"(41.854427952, -87.685700213)"
FALSE,2032,20,47,3,08A,1164323,1933390,2016,05-10-2016 15:56,41.97284344,-87.67112723,"(41.972843435, -87.671127232)"
FALSE,712,7,16,68,6,1170696,1864158,2016,05-10-2016 15:56,41.78272837,-87.64972028,"(41.782728365, -87.649720276)"
